what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772612736
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772612922
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772613742
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772615349
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772615351
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772615493
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772616428
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772619018
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772620281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772622358
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772630928
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772633340
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772639553
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772641173
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1306772644370
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1306772644455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772650973
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772652383
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306772657850
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1306772659323
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772660968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772664683
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1306772665839
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772666807
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772678982
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306772679010
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772679820
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772711634
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306772716830
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306772716908
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772727312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772801121
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772803029
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772815602
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306772817740
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306772817936
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772820539
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772822532
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772823194
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772829455
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306772831633
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306772832387
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1306772833295
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772836764
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772838524
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1306772840120
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772841396
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772862705
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1306772865543
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1306772869692
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772873541
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772878590
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772892685
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772905984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306772911966
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1306772912648
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772913969
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772916428
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772916928
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772918322
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772919640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772920512
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306772921039
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306773417408
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306773418440
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306773429585
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306773997586
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306773998140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306774003891
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306774003909
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306774007302
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306774009324
